#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv2064	cobG	9	101.35	145.15
Rv2065	cobH	8	145.75	256.53
Rv2066	cobI	22	231.22	213.81
Rv2067c	-	34	85.73	67.97
Rv2068c	blaC	14	535.46	355.19
Rv2069	sigC	8	118.60	153.06
Rv2070c	cobK	16	57.44	50.03
Rv2071c	cobM	17	161.38	177.36
Rv2072c	cobL	13	196.26	134.32
Rv2073c	-	10	390.25	273.06
Rv2074	-	6	216.05	234.50
Rv2075c	-	26	469.46	416.17
Rv2076c	-	5	377.68	354.69
Rv2077c	-	19	231.51	215.58
Rv2077A	-	7	45.72	78.02
Rv2078	-	3	1.52	9.58
Rv2079	-	34	119.42	77.44
Rv2080	lppJ	10	200.73	96.43
Rv2081c	-	7	112.35	99.37
Rv2082	-	38	155.10	105.06
Rv2083	-	6	223.29	250.07
Rv2084	-	25	117.97	130.32
Rv2085	-	3	0.00	0.00
Rv2086	-	11	35.75	35.80
Rv2087	-	5	0.00	1.15
Rv2088	pknJ	30	49.92	102.71
Rv2089c	pepE	21	51.17	68.30
Rv2090	-	16	156.60	230.13
Rv2091c	-	19	171.46	153.40
Rv2092c	helY	40	190.61	202.25
Rv2093c	tatC	12	0.00	0.00
Rv2094c	tatA	2	0.00	0.00
Rv2095c	-	15	284.10	249.21
Rv2096c	-	15	208.96	163.65
Rv2097c	-	21	0.00	0.00
Rv2100	-	19	302.86	319.81
Rv2101	helZ	28	266.42	315.36
Rv2102	-	12	303.30	173.66
Rv2103c	-	5	170.55	240.87
Rv2104c	-	1	66.30	18.68
Rv2105	-	4	178.32	126.47
Rv2106	-	25	137.63	118.77
Rv2107	PE22	9	8.64	46.15
Rv2108	PPE36	21	154.70	226.46
Rv2109c	prcA	18	0.00	0.00
Rv2110c	prcB	18	0.00	0.00
Rv2111c	-	1	0.00	0.00
Rv2112c	-	32	25.15	35.97
Rv2113	-	11	528.94	528.62
Rv2114	-	14	434.54	412.88
Rv2115c	-	29	0.63	0.00
Rv2116	lppK	6	174.89	132.70
Rv2117	-	2	2.29	181.80
Rv2118c	-	14	143.70	280.45
Rv2119	-	20	140.72	150.97
Rv2120c	-	8	71.44	119.11
Rv2121c	hisG	9	0.00	0.00
Rv2122c	hisE	3	0.00	0.00
Rv2123	PPE37	22	142.47	98.64
Rv2124c	metH	44	82.77	114.32
Rv2125	-	10	467.76	633.36
Rv2126c	PE_PGRS37	6	72.78	59.88
Rv2127	ansP1	26	83.80	134.93
Rv2128	-	6	167.27	66.59
Rv2129c	-	13	73.86	87.45
Rv2130c	cysS	24	0.00	0.00
Rv2131c	cysQ	9	0.00	0.00
Rv2132	-	2	738.44	250.79
Rv2133c	-	9	246.91	270.67
Rv2134c	-	8	36.58	113.18
Rv2135c	-	5	0.00	27.59
Rv2136c	uppP	14	124.27	151.83
Rv2137c	-	6	35.06	45.75
Rv2138	lppL	20	2.51	14.01
Rv2139	pyrD	13	0.00	0.00
Rv2140c	TB18.6	11	106.83	192.84
Rv2141c	-	21	260.52	204.56
Rv2142c	-	13	130.49	190.70
Rv2143	-	14	336.72	280.56
Rv2144c	-	4	110.31	176.77
Rv2145c	wag31	11	0.00	0.00
Rv2146c	-	1	0.00	37.37
Rv2147c	-	19	29.60	46.97
Rv2148c	-	9	8.89	14.53
Rv2149c	yfiH	7	48.34	56.67
Rv2150c	ftsZ	8	0.00	0.00
Rv2151c	ftsQ	7	0.00	0.00
Rv2152c	murC	14	0.00	0.00
Rv2153c	murG	14	0.00	0.00
Rv2154c	ftsW	18	5.72	0.32
Rv2155c	murD	20	0.00	0.00
Rv2156c	mraY	12	0.00	0.00
Rv2157c	murF	10	0.00	0.00
Rv2158c	murE	11	0.00	0.00
Rv2159c	-	6	534.59	535.11
Rv2160A	-	6	16.00	138.21
Rv2160c	-	3	0.00	0.00
Rv2161c	-	8	411.23	268.57
Rv2162c	PE_PGRS38	14	124.92	89.52
Rv2163c	pbpB	29	0.00	0.00
Rv2164c	-	10	0.00	0.00
Rv2165c	mraW	19	0.00	0.00
Rv2166c	-	8	0.00	0.00
Rv2167c	-	26	120.90	121.50
Rv2168c	-	4	200.04	138.69
Rv2169c	-	5	0.00	0.00
Rv2170	-	14	76.10	36.85
Rv2171	lppM	8	105.45	139.76
Rv2172c	-	17	0.00	0.00
Rv2173	idsA2	18	42.04	41.36
Rv2174	-	27	9.06	28.69
Rv2175c	-	7	352.73	365.25
Rv2176	pknL	23	49.60	55.92
Rv2177c	-	7	198.25	222.76
Rv2178c	aroG	16	0.00	0.00
Rv2179c	-	7	8.16	28.54
Rv2180c	-	11	243.79	343.61
Rv2181	-	20	228.51	189.49
Rv2182c	-	21	0.00	0.00
Rv2183c	-	6	20.58	74.49
Rv2184c	-	18	83.95	181.24
Rv2185c	TB16.3	13	56.63	61.69
Rv2186c	-	9	0.00	0.00
Rv2187	fadD15	34	192.78	151.92
Rv2188c	-	19	0.00	0.00
Rv2189c	-	11	198.07	192.32
Rv2190c	-	20	9.03	13.72
Rv2191	-	26	252.27	184.84
Rv2192c	trpD	7	0.00	0.00
Rv2193	ctaE	17	0.00	0.34
Rv2194	qcrC	12	0.00	0.00
Rv2195	qcrA	22	0.00	0.00
Rv2196	qcrB	30	0.00	0.67
Rv2197c	-	12	148.03	181.92
Rv2198c	mmpS3	14	0.00	8.21
Rv2199c	-	8	122.60	53.53
Rv2200c	ctaC	20	16.23	25.80
Rv2201	asnB	29	1.18	1.83
Rv2202c	cbhK	19	0.00	0.00
Rv2203	-	14	433.56	322.03
Rv2204c	-	4	0.00	0.00
Rv2205c	-	13	144.21	236.03
Rv2206	-	9	76.97	75.85
Rv2207	cobT	8	0.29	12.04
Rv2208	cobS	9	87.89	198.65
Rv2209	-	25	393.04	328.42
Rv2210c	ilvE	22	0.00	0.00
Rv2211c	gcvT	18	0.00	2.32
Rv2212	-	10	131.23	175.33
Rv2213	pepB	15	197.83	91.40
Rv2214c	ephD	31	195.80	149.05
Rv2215	dlaT	15	0.00	0.00
Rv2216	-	12	136.79	107.67
Rv2217	lipB	12	4.00	14.73
Rv2218	lipA	14	22.86	12.01
Rv2219	-	8	22.29	16.71
Rv2219A	-	3	9.14	40.24
Rv2220	glnA1	29	0.00	0.00
Rv2221c	glnE	39	0.00	0.00
Rv2222c	glnA2	20	28.69	34.35
Rv2223c	-	29	361.61	274.05
Rv2224c	-	29	130.16	144.41
Rv2225	panB	15	0.00	0.00
Rv2226	-	25	126.11	120.49
Rv2227	-	19	133.68	98.48
Rv2228c	-	19	51.74	25.94
Rv2229c	-	5	0.00	0.00
Rv2230c	-	16	18.72	28.47
Rv2231c	cobC	16	20.00	14.82
Rv2232	-	11	124.49	129.87
Rv2234	ptpA	7	165.26	68.78
Rv2235	-	16	0.00	0.00
Rv2236c	cobD	12	135.65	87.67
Rv2237	-	17	143.76	127.91
Rv2238c	ahpE	5	99.22	27.31
Rv2239c	-	4	106.88	90.18
Rv2240c	-	11	101.42	138.75
Rv2241	aceE	57	0.00	0.00
Rv2242	-	17	0.00	13.78
Rv2243	fabD	6	0.00	5.03
Rv2244	acpP	6	0.00	0.00
Rv2245	kasA	16	0.00	0.00
Rv2246	kasB	18	0.00	0.00
Rv2247	accD6	13	0.00	0.00
Rv2248	-	12	66.30	57.37
Rv2249c	glpD1	20	52.01	39.38
Rv2250c	-	11	211.16	151.95
Rv2250A	-	3	28.96	46.47
Rv2251	-	9	86.37	54.13
Rv2252	-	17	35.91	44.55
Rv2253	-	12	23.81	16.29
Rv2254c	-	6	168.80	79.28
Rv2255c	-	1	0.00	8.62
Rv2256c	-	6	0.00	0.00
Rv2257c	-	9	14.23	59.08
Rv2258c	-	15	417.46	292.70
Rv2259	adhE2	14	7.02	5.13
Rv2260	-	6	184.04	142.76
Rv2261c	-	6	206.52	214.38
Rv2262c	-	14	146.32	113.54
Rv2263	-	13	254.12	187.50
Rv2264c	-	32	216.26	188.36
Rv2265	-	16	180.04	126.02
Rv2266	cyp124	17	170.12	132.98
Rv2267c	-	37	32.44	56.01
Rv2268c	cyp128	28	87.53	38.91
Rv2269c	-	12	114.12	91.98
Rv2270	lppN	11	137.80	173.37
Rv2271	-	6	42.68	90.30
Rv2272	-	4	85.73	54.97
Rv2273	-	5	115.22	217.01
Rv2274c	-	8	20.58	30.54
Rv2275	-	19	12.75	18.08
Rv2276	cyp121	17	30.80	44.89
Rv2277c	-	12	55.06	36.77
Rv2278	-	4	192.61	119.29
Rv2279	-	25	125.83	119.86
Rv2280	-	18	66.30	43.75
Rv2281	pitB	26	50.47	57.60
Rv2282c	-	13	55.22	27.97
Rv2283	-	2	0.00	0.72
Rv2284	lipM	28	95.04	49.02
Rv2285	-	22	190.48	194.54
Rv2286c	-	10	56.70	53.75
Rv2287	yjcE	20	147.57	136.46
Rv2288	-	4	75.44	209.11
Rv2289	cdh	22	202.95	105.57
Rv2290	lppO	13	232.14	108.89
Rv2291	sseB	16	109.59	141.92
Rv2292c	-	2	248.05	186.11
Rv2293c	-	14	108.43	125.44
Rv2294	-	23	180.51	218.64
Rv2295	-	11	81.26	174.16
Rv2296	-	16	291.20	301.72
Rv2297	-	8	53.73	34.13
Rv2298	-	17	112.02	166.54
Rv2299c	htpG	29	119.20	123.79
Rv2300c	-	17	191.77	192.50
Rv2301	cut2	10	237.99	217.73
Rv2302	-	4	154.32	329.83
Rv2303c	-	19	233.79	140.62
Rv2304c	-	1	310.92	127.91
Rv2305	-	10	59.44	122.30
Rv2306A	-	8	410.37	379.77
Rv2306B	-	5	48.01	52.60
Rv2307c	-	20	334.93	243.24
Rv2307A	-	3	76.21	223.72
Rv2307B	-	21	47.79	15.74
Rv2307D	-	5	129.86	96.87
Rv2308	-	17	116.87	121.57
Rv2309c	-	9	119.64	224.84
Rv2309A	-	13	252.01	200.10
Rv2310	-	3	61.73	99.16
Rv2311	-	7	310.27	410.41
Rv2312	-	3	86.88	165.27
Rv2313c	-	10	391.40	351.68
Rv2314c	-	16	123.60	157.19
Rv2315c	-	33	62.77	46.60
Rv2316	uspA	13	62.25	107.90
Rv2317	uspB	14	0.00	2.16
Rv2318	uspC	30	39.40	29.03
Rv2319c	-	19	75.93	57.79
Rv2320c	rocE	28	122.72	117.85
Rv2321c	rocD2	9	32.77	48.54
Rv2322c	rocD1	10	42.52	52.46
Rv2323c	-	22	143.82	83.81
Rv2324	-	2	0.00	137.97
Rv2325c	-	9	33.28	34.17
Rv2326c	-	23	247.31	178.08
Rv2327	-	5	19.66	39.95
Rv2328	PE23	12	209.95	231.86
Rv2329c	narK1	28	303.25	234.46
Rv2330c	lppP	7	161.01	52.56
Rv2331	-	6	121.17	73.77
Rv2331A	-	5	292.63	362.74
Rv2332	mez	28	144.28	123.96
Rv2333c	-	21	279.57	296.26
Rv2334	cysK1	14	23.84	21.25
Rv2335	cysE	6	1.14	2.16
Rv2336	-	29	17.19	21.26
Rv2337c	-	10	128.48	118.85
Rv2338c	moeW	38	25.81	13.20
Rv2339	mmpL9	82	68.89	64.60
Rv2340c	PE_PGRS39	16	417.95	362.89
Rv2341	lppQ	4	691.00	707.81
Rv2342	-	4	63.44	150.90
Rv2343c	dnaG	26	0.00	0.00
Rv2344c	dgt	27	114.90	102.84
Rv2345	-	29	343.48	349.73
Rv2346c	esxO	3	255.29	194.50
Rv2347c	esxP	3	309.40	261.09
Rv2348c	-	2	34.29	122.16
Rv2349c	plcC	28	408.41	423.30
Rv2350c	plcB	23	132.80	119.85
Rv2351c	plcA	25	543.57	392.35
Rv2352c	PPE38	16	461.24	649.87
Rv2353c	PPE39	24	17.43	19.22
Rv2354	-	4	173.75	135.09
Rv2355	-	25	129.49	116.07
Rv2356c	PPE40	30	121.70	95.72
Rv2357c	glyS	31	0.00	0.00
Rv2358	-	5	31.09	30.76
Rv2359	furB	5	0.00	1.15
Rv2360c	-	6	137.55	57.97
Rv2361c	-	17	0.00	0.00
Rv2362c	recO	11	30.34	10.19
Rv2363	amiA2	17	23.13	29.59
Rv2364c	era	15	0.00	0.00
Rv2365c	-	4	48.58	100.60
Rv2366c	-	22	99.45	100.01
Rv2367c	-	9	8.13	103.16
Rv2368c	phoH1	17	239.38	188.27
Rv2369c	-	3	28.20	18.20
Rv2370c	-	20	191.47	198.04
Rv2371	PE_PGRS40	1	0.00	0.00
Rv2372c	-	6	269.77	285.76
Rv2373c	dnaJ2	10	0.00	0.00
Rv2374c	hrcA	23	9.54	3.25
Rv2375	-	9	163.08	144.68
Rv2376c	cfp2	2	458.38	110.66
Rv2377c	mbtH	2	0.00	0.00
Rv2378c	mbtG	9	67.57	30.34
Rv2379c	mbtF	64	5.04	14.55
Rv2380c	mbtE	79	11.60	17.57
Rv2381c	mbtD	43	0.32	4.48
Rv2382c	mbtC	17	13.58	3.72
Rv2383c	mbtB	50	33.06	31.13
Rv2384	mbtA	21	14.59	14.03
Rv2385	mbtJ	19	196.61	239.55
Rv2386c	mbtI	18	8.26	17.17
Rv2387	-	24	181.37	213.12
Rv2388c	hemN	20	272.06	221.18
Rv2389c	rpfD	10	634.65	246.47
Rv2390c	-	6	271.68	407.92
Rv2391	nirA	19	0.00	0.00
Rv2392	cysH	13	0.00	0.00
Rv2393	-	7	0.00	0.00
Rv2394	ggtB	30	166.36	178.21
Rv2395	-	37	316.55	194.87
Rv2396	PE_PGRS41	14	256.54	371.82
Rv2397c	cysA1	15	0.00	0.00
Rv2398c	cysW	18	8.00	1.92
Rv2399c	cysT	10	0.00	0.00
Rv2400c	subI	19	0.00	0.00
Rv2401	-	4	21.15	54.61
Rv2401A	-	1	0.00	0.00
Rv2402	-	28	260.54	255.41
Rv2403c	lppR	7	42.13	36.34
Rv2404c	lepA	30	146.47	172.22
Rv2405	-	9	134.12	154.42
Rv2406c	-	8	362.93	413.55
Rv2407	-	10	135.80	155.50
Rv2408	PE24	16	237.48	238.21
Rv2409c	-	20	174.44	168.36
Rv2410c	-	11	128.44	113.93
Rv2411c	-	24	648.90	611.58
Rv2412	rpsT	1	0.00	0.00
Rv2413c	-	13	0.00	0.00
Rv2414c	-	12	310.35	292.94
Rv2415c	-	14	156.77	159.12
Rv2416c	eis	28	28.99	39.78
Rv2417c	-	12	36.77	18.56
Rv2418c	-	21	38.43	8.01
Rv2419c	-	7	32.33	16.22
Rv2420c	-	5	10.97	33.92
Rv2421c	nadD	14	0.00	0.00
Rv2422	-	4	110.88	177.13
Rv2423	-	18	225.19	255.82
Rv2424c	-	7	152.52	178.62
Rv2425c	-	18	189.37	197.13
Rv2426c	-	10	319.15	125.03
Rv2427c	proA	16	7.72	25.69
Rv2428	ahpC	9	28.96	0.96
Rv2429	ahpD	13	124.16	78.93
Rv2430c	PPE41	10	55.55	38.80
Rv2431c	PE25	6	872.57	180.84
Rv2432c	-	7	137.17	171.23
Rv2433c	-	6	3.05	75.21
Rv2434c	-	25	49.11	33.80
Rv2435c	-	56	39.93	39.55
Rv2436	rbsK	12	30.86	28.02
Rv2437	-	9	92.46	8.30
Rv2438c	nadE	39	0.00	0.00
Rv2438A	-	5	18.29	88.53
Rv2439c	proB	12	0.00	0.00
Rv2440c	obgE	12	0.00	0.00
Rv2441c	rpmA	4	0.00	0.00
Rv2442c	rplU	4	0.00	0.00
Rv2443	dctA	21	145.23	200.72
Rv2444c	rne	32	1.71	7.23
Rv2445c	ndk	4	0.00	0.00
Rv2446c	-	7	220.13	278.19
Rv2447c	folC	13	0.00	0.00
Rv2448c	valS	28	0.00	0.00
Rv2449c	-	26	255.00	168.37
Rv2450c	rpfE	8	222.62	151.44
Rv2451	-	8	77.73	24.43
Rv2452c	-	7	56.83	17.45
Rv2453c	mobA	5	215.82	246.62
Rv2454c	-	15	0.00	0.00
Rv2455c	-	37	0.00	0.00
Rv2456c	-	20	199.24	216.29
Rv2457c	clpX	19	0.00	0.00
Rv2458	mmuM	17	302.72	279.49
Rv2459	-	21	167.98	220.09
Rv2460c	clpP2	10	0.00	0.00
Rv2461c	clpP	10	0.00	0.00
Rv2462c	tig	19	159.91	111.04
Rv2463	lipP	20	353.33	262.50
Rv2464c	-	11	416.30	307.82
Rv2465c	-	7	0.00	0.00
Rv2466c	-	9	321.08	106.19
Rv2467	pepN	38	105.17	107.33
Rv2468c	-	5	165.98	302.67
Rv2469c	-	10	201.64	151.19
Rv2470	glbO	9	0.00	9.10
Rv2471	aglA	16	156.03	166.26
Rv2472	-	8	75.73	133.84
Rv2473	-	17	128.56	112.61
Rv2474c	-	13	86.17	24.76
Rv2475c	-	8	24.58	101.32
Rv2476c	gdh	64	2.75	2.74
Rv2477c	-	27	0.00	0.00
Rv2478c	-	6	415.33	249.11
Rv2479c	-	26	129.35	116.69
Rv2480c	-	4	189.18	131.86
Rv2481c	-	5	20.58	233.68
Rv2482c	plsB2	41	88.88	50.65
Rv2483c	plsC	27	72.99	32.74
Rv2484c	-	22	150.79	106.22
Rv2485c	lipQ	21	348.59	232.55
Rv2486	echA14	10	360.53	463.34
Rv2487c	PE_PGRS42	25	88.25	117.10
Rv2488c	-	46	267.88	204.08
Rv2489c	-	5	252.40	292.32
Rv2490c	PE_PGRS43	51	326.25	290.05
Rv2491	-	15	5.94	3.26
Rv2492	-	31	17.70	33.10
Rv2493	-	0	0.00	0.00
Rv2494	-	5	138.54	194.31
Rv2495c	pdhC	14	6.53	25.97
Rv2496c	pdhB	24	3.24	7.90
Rv2497c	pdhA	23	10.44	35.93
Rv2498c	citE	9	62.74	98.05
Rv2499c	-	6	741.11	627.32
Rv2500c	fadE19	28	15.02	15.35
Rv2501c	accA1	27	19.14	32.04
Rv2502c	accD1	29	74.26	55.70
Rv2503c	scoB	7	52.26	94.44
Rv2504c	scoA	13	55.40	102.59
Rv2505c	fadD35	36	163.53	113.06
Rv2506	-	9	166.64	199.29
Rv2507	-	19	0.00	0.00
Rv2508c	-	17	240.72	204.67
Rv2509	-	11	0.00	0.00
Rv2510c	-	17	57.69	73.89
Rv2511	orn	8	0.00	0.00
Rv2512c	-	16	104.16	100.15
Rv2513	-	8	107.74	146.95
Rv2514c	-	7	119.54	32.85
Rv2515c	-	21	59.11	82.95
Rv2516c	-	13	2.64	0.00
Rv2517c	-	7	110.39	125.44
Rv2518c	lppS	21	2.94	9.51
Rv2519	PE26	35	108.04	92.27
Rv2520c	-	1	0.00	0.00
Rv2521	bcp	10	205.99	140.27
Rv2522c	-	19	129.71	74.28
Rv2523c	acpS	4	0.00	0.00
Rv2524c	fas	71	0.00	0.00
Rv2525c	-	13	143.50	205.40
Rv2526	-	1	0.00	0.00
Rv2527	-	9	40.14	64.99
Rv2528c	mrr	10	90.30	57.06
Rv2529	-	16	163.46	113.99
Rv2530c	-	3	0.00	21.08
Rv2530A	-	5	15.09	98.59
Rv2531c	-	50	151.62	124.17
Rv2532c	-	6	219.09	231.86
Rv2533c	nusB	4	0.00	0.00
Rv2534c	efp	11	0.00	0.00
Rv2535c	pepQ	19	0.96	6.43
Rv2536	-	9	279.93	110.50
Rv2537c	aroD	7	0.00	0.00
Rv2538c	aroB	10	0.00	0.00
Rv2539c	aroK	5	0.00	0.00
Rv2540c	aroF	10	0.00	0.00
Rv2541	-	3	0.00	0.48
Rv2542	-	13	215.25	157.98
Rv2543	lppA	14	99.61	116.41
Rv2544	lppB	15	34.45	18.20
Rv2545	-	10	529.03	332.56
Rv2546	-	9	155.72	169.11
Rv2547	-	2	134.89	56.05
Rv2548	-	5	5.49	27.88
Rv2549c	-	5	295.83	503.58
Rv2550c	-	7	7.51	6.98
Rv2551c	-	2	65.16	173.90
Rv2552c	aroE	5	0.00	0.00
Rv2553c	-	18	0.00	0.00
Rv2554c	-	4	0.00	0.00
Rv2555c	alaS	42	0.00	0.00
Rv2556c	-	5	38.87	85.37
Rv2557	-	12	454.95	434.86
Rv2558	-	7	213.60	259.92
Rv2559c	-	16	250.20	287.07
Rv2560	-	24	168.51	134.14
Rv2561	-	3	197.38	81.92
Rv2562	-	8	95.45	139.05
Rv2563	-	9	193.06	157.29
Rv2564	glnQ	14	117.58	134.27
Rv2565	-	26	69.73	108.78
Rv2566	-	52	143.11	140.95
Rv2567	-	39	31.24	39.54
Rv2568c	-	17	77.73	37.96
Rv2569c	-	23	37.77	81.17
Rv2570	-	4	27.43	113.18
Rv2571c	-	9	201.44	105.39
Rv2572c	aspS	23	0.00	0.00
Rv2573	-	4	222.90	240.73
Rv2574	-	8	79.73	128.63
Rv2575	-	18	26.80	57.73
Rv2576c	-	11	258.13	240.66
Rv2577	-	40	82.42	125.11
Rv2578c	-	18	131.71	190.50
Rv2579	dhaA	15	161.56	111.91
Rv2580c	hisS	18	0.00	0.00
Rv2581c	-	7	1.31	0.00
Rv2582	ppiB	18	0.00	0.00
Rv2583c	relA	36	7.37	25.07
Rv2584c	apt	12	142.32	155.81
Rv2585c	-	27	132.18	161.02
Rv2586c	secF	18	3.43	12.14
Rv2587c	secD	24	0.00	4.73
Rv2588c	yajC	2	194.33	284.56
Rv2589	gabT	22	319.13	234.13
Rv2590	fadD9	62	294.15	319.38
Rv2591	PE_PGRS44	13	171.64	97.06
Rv2592c	ruvB	8	0.00	0.00
Rv2593c	ruvA	6	0.00	19.64
Rv2594c	ruvC	6	0.00	0.00
Rv2595	-	0	0.00	0.00
Rv2596	-	8	306.92	651.22
Rv2597	-	7	445.81	415.14
Rv2598	-	5	323.27	404.13
Rv2599	-	12	396.08	391.03
Rv2600	-	10	308.64	257.54
Rv2601	speE	25	323.27	368.26
Rv2601A	-	2	0.00	5.75
Rv2602	-	7	290.67	261.36
Rv2603c	-	7	0.00	0.00
Rv2604c	-	4	0.00	0.00
Rv2605c	tesB2	9	37.09	16.93
Rv2606c	-	12	0.00	0.00
Rv2607	pdxH	13	235.65	198.88
Rv2608	PPE42	32	186.11	162.36
Rv2609c	-	13	174.28	222.43
Rv2610c	pimA	16	0.00	0.00
Rv2611c	-	15	0.00	0.00
Rv2612c	pgsA1	3	0.00	0.00
Rv2613c	-	9	42.17	59.24
Rv2614c	thrS	28	0.00	0.00
Rv2614A	-	6	4.57	52.46
Rv2615c	PE_PGRS45	17	172.00	162.48
Rv2616	-	5	219.02	247.48
Rv2617c	-	9	608.64	659.02
Rv2618	-	11	158.58	157.44
Rv2619c	-	2	342.93	71.14
Rv2620c	-	6	152.79	359.77
Rv2621c	-	5	67.67	22.99
Rv2622	-	8	186.33	164.20
Rv2623	TB31.7	8	64.30	64.31
Rv2624c	-	11	54.04	21.43
Rv2625c	-	19	160.88	89.48
Rv2626c	-	6	9.91	68.03
Rv2627c	-	21	31.35	63.17
Rv2628	-	8	151.17	192.22
Rv2629	-	24	151.84	150.48
Rv2630	-	10	93.73	120.58
Rv2631	-	22	222.80	180.76
Rv2632c	-	3	59.44	76.17
Rv2633c	-	13	99.54	259.91
Rv2634c	PE_PGRS46	33	98.65	135.22
Rv2635	-	7	40.50	29.77
Rv2636	-	18	501.57	384.44
Rv2637	dedA	10	120.71	143.86
Rv2638	-	5	268.86	316.75
Rv2639c	-	7	159.71	228.51
Rv2640c	-	5	63.10	79.91
Rv2641	cadI	7	396.17	268.55
Rv2642	-	4	385.22	358.57
Rv2643	arsC	30	127.34	169.06
Rv2644c	-	6	105.17	70.18
Rv2645	-	4	171.46	248.63
Rv2646	-	19	250.28	154.08
Rv2647	-	6	17.91	84.07
Rv2648	-	4	169.75	149.82
Rv2649	-	25	132.51	116.30
Rv2650c	-	9	32.51	2.08
Rv2651c	-	7	202.49	142.69
Rv2652c	-	7	10.45	0.41
Rv2653c	-	4	0.00	0.00
Rv2654c	-	0	0.00	0.00
Rv2655c	-	22	127.61	90.22
Rv2656c	-	5	262.91	159.24
Rv2657c	-	5	109.28	214.43
Rv2658c	-	12	329.97	310.67
Rv2659c	-	21	268.03	214.28
Rv2660c	-	4	228.05	128.27
Rv2661c	-	2	43.44	217.73
Rv2662	-	4	4.57	328.39
Rv2663	-	10	211.70	86.23
Rv2664	-	0	0.00	0.00
Rv2665	-	6	105.17	87.43
Rv2666	-	11	123.04	95.38
Rv2667	clpC2	6	155.46	66.11
Rv2668	-	9	198.65	172.94
Rv2669	-	8	220.90	257.61
Rv2670c	-	18	254.66	182.20
Rv2671	ribD	13	135.59	131.11
Rv2672	-	19	147.64	134.34
Rv2673	-	29	0.00	3.52
Rv2674	-	8	131.46	129.88
Rv2675c	-	14	493.00	450.14
Rv2676c	-	13	0.00	0.00
Rv2677c	hemY	16	0.71	0.81
Rv2678c	hemE	17	0.00	0.00
Rv2679	echA15	6	453.05	539.66
Rv2680	-	10	8.92	34.06
Rv2681	-	19	303.34	226.77
Rv2682c	dxs1	24	0.00	0.00
Rv2683	-	11	62.14	84.53
Rv2684	arsA	20	99.79	87.52
Rv2685	arsB1	14	63.52	44.45
Rv2686c	-	14	93.73	77.40
Rv2687c	-	12	232.62	142.76
Rv2688c	-	11	136.34	156.91
Rv2689c	-	22	150.16	224.53
Rv2690c	-	32	0.00	0.04
Rv2691	ceoB	14	86.55	43.32
Rv2692	ceoC	3	84.59	217.97
Rv2693c	-	12	221.95	213.66
Rv2694c	-	8	116.88	138.87
Rv2695	-	10	112.48	120.43
Rv2696c	-	10	6.40	13.80
Rv2697c	dut	5	0.00	0.00
Rv2698	-	12	0.00	0.00
Rv2699c	-	4	0.00	0.00
Rv2700	-	8	0.00	2.34
Rv2701c	suhB	11	279.75	319.70
Rv2702	ppgK	14	135.38	109.64
Rv2703	sigA	21	0.00	0.00
Rv2704	-	11	344.38	446.18
Rv2705c	-	10	473.47	637.10
Rv2706c	-	2	0.00	229.23
Rv2707	-	28	94.47	117.80
Rv2708c	-	7	332.15	302.01
Rv2709	-	11	318.61	338.52
Rv2710	sigB	13	19.52	62.90
Rv2711	ideR	7	0.00	0.00
Rv2712c	-	15	343.23	329.50
Rv2713	sthA	23	253.47	181.33
Rv2714	-	16	105.74	81.11
Rv2715	-	19	67.14	73.37
Rv2716	-	10	200.96	86.81
Rv2717c	-	10	64.47	109.66
Rv2718c	-	8	169.18	174.62
Rv2719c	-	5	47.10	205.52
Rv2720	lexA	8	0.00	0.00
Rv2721c	-	29	236.27	288.38
Rv2722	-	7	134.89	66.52
Rv2723	-	27	161.13	118.81
Rv2724c	fadE20	25	180.15	182.92
Rv2725c	hflX	21	384.19	408.64
Rv2726c	dapF	11	0.00	0.00
Rv2727c	miaA	15	18.14	15.52
Rv2728c	-	11	294.09	304.68
Rv2729c	-	12	230.14	251.86
Rv2730	-	12	300.06	215.10
Rv2731	-	8	255.20	111.74
Rv2732c	-	6	23.62	88.15
Rv2733c	-	16	81.30	92.16
Rv2734	-	22	59.55	73.49
Rv2735c	-	31	66.74	57.39
Rv2736c	recX	6	101.74	32.34
Rv2737c	recA	29	47.46	43.26
Rv2737A	-	3	62.49	21.56
Rv2738c	-	4	241.19	90.90
Rv2739c	-	5	106.99	34.49
Rv2740	-	5	310.92	193.16
Rv2741	PE_PGRS47	24	215.28	235.82
Rv2742c	-	15	466.08	393.59
Rv2743c	-	12	229.95	163.72
Rv2744c	35kd_ag	9	274.09	239.37
Rv2745c	-	2	35.44	267.31
Rv2746c	pgsA3	14	1.80	0.82
Rv2747	-	7	0.00	0.00
Rv2748c	ftsK	30	5.11	33.15
Rv2749	-	3	92.97	35.45
Rv2750	-	12	67.44	83.00
